year,month,time,price,wprice,pop
2015,1,11:25:42,73700,,
2015,1,11:25:43,73700,,
2015,1,11:25:44,73700,,
2015,1,11:25:45,73700,,
2015,1,11:25:46,73700,,
2015,1,11:25:47,73700,,
2015,1,11:25:48,73700,,
2015,1,11:25:49,73700,,
2015,1,11:25:50,73700,,
2015,1,11:25:51,73700,,
2015,1,11:25:52,73700,,
2015,1,11:25:53,73700,,
2015,1,11:25:54,73700,,
2015,1,11:25:55,73700,,
2015,1,11:25:56,73700,,
2015,1,11:25:57,73700,,
2015,1,11:25:58,73700,,
2015,1,11:25:59,73700,,
2015,1,11:26:00,73700,,
2015,1,11:26:01,73700,,
2015,1,11:26:02,73700,,
2015,1,11:26:03,73700,,
2015,1,11:26:04,73700,,
2015,1,11:26:05,73700,,
2015,1,11:26:06,73700,,
2015,1,11:26:07,73700,,
2015,1,11:26:08,73700,,
2015,1,11:26:09,73700,,
2015,1,11:26:10,73700,,
2015,1,11:26:11,73700,,
2015,1,11:26:12,73700,,
2015,1,11:26:13,73700,,
2015,1,11:26:14,73700,,
2015,1,11:26:15,73700,,
2015,1,11:26:16,73700,,
2015,1,11:26:17,73700,,
2015,1,11:26:18,73700,,
2015,1,11:26:19,73700,,
2015,1,11:26:20,73700,,
2015,1,11:26:21,73700,,
2015,1,11:26:22,73700,,
2015,1,11:26:23,73700,,
2015,1,11:26:24,73700,,
2015,1,11:26:25,73700,,
2015,1,11:26:26,73700,,
2015,1,11:26:27,73700,,
2015,1,11:26:28,73700,,
2015,1,11:26:29,73700,,
2015,1,11:26:30,73700,,
2015,1,11:26:31,73700,,
2015,1,11:26:32,73700,,
2015,1,11:26:33,73700,,
2015,1,11:26:34,73700,,
2015,1,11:26:35,73700,,
2015,1,11:26:36,73700,,
2015,1,11:26:37,73700,,
2015,1,11:26:38,73700,,
2015,1,11:26:39,73700,,
2015,1,11:26:40,73700,,
2015,1,11:26:41,73700,,
2015,1,11:26:42,73700,,
2015,1,11:26:43,73700,,
2015,1,11:26:44,73700,,
2015,1,11:26:45,73700,,
2015,1,11:26:46,73700,,
2015,1,11:26:47,73700,,
2015,1,11:26:48,73700,,
2015,1,11:26:49,73700,,
2015,1,11:26:50,73700,,
2015,1,11:26:51,73700,,
2015,1,11:26:52,73700,,
2015,1,11:26:53,73700,,
2015,1,11:26:54,73700,,
2015,1,11:26:55,73700,,
2015,1,11:26:56,73700,,
2015,1,11:26:57,73700,,
2015,1,11:26:58,73700,,
2015,1,11:26:59,73700,,
2015,1,11:27:00,73700,,
2015,1,11:27:01,73700,,
2015,1,11:27:02,73700,,
2015,1,11:27:03,73700,,
2015,1,11:27:04,73700,,
2015,1,11:27:05,73700,,
2015,1,11:27:06,73700,,
2015,1,11:27:07,73700,,
2015,1,11:27:08,73700,,
2015,1,11:27:09,73700,,
2015,1,11:27:10,73700,,
2015,1,11:27:11,73700,,
2015,1,11:27:12,73700,,
2015,1,11:27:13,73700,,
2015,1,11:27:14,73700,,
2015,1,11:27:15,73700,,
2015,1,11:27:16,73700,,
2015,1,11:27:17,73700,,
2015,1,11:27:18,73700,,
2015,1,11:27:19,73700,,
2015,1,11:27:20,73700,,
2015,1,11:27:21,73700,,
2015,1,11:27:22,73700,,
2015,1,11:27:23,73700,,
2015,1,11:27:24,73700,,
2015,1,11:27:25,73700,,
2015,1,11:27:26,73700,,
2015,1,11:27:27,73700,,
2015,1,11:27:28,73700,,
2015,1,11:27:29,73700,,
2015,1,11:27:30,73700,,
2015,1,11:27:31,73700,,
2015,1,11:27:32,73700,,
2015,1,11:27:33,73700,,
2015,1,11:27:34,73700,,
2015,1,11:27:35,73700,,
2015,1,11:27:36,73700,,
2015,1,11:27:37,73700,,
2015,1,11:27:38,73700,,
2015,1,11:27:39,73700,,
2015,1,11:27:40,73700,,
2015,1,11:27:41,73700,,
2015,1,11:27:42,73700,,
2015,1,11:27:43,73700,,
2015,1,11:27:44,73700,,
2015,1,11:27:45,73700,,
2015,1,11:27:46,73700,,
2015,1,11:27:47,73700,,
2015,1,11:27:48,73700,,
2015,1,11:27:49,73700,,
2015,1,11:27:50,73700,,
